rental_serial_number,fk_rental_id,fk_rental_equipment_uid,equipment_type,equipment_type_serial_number,activation_date,manufacturer,model,size,pricing_status,deactivation_date,deactivation_initials,at_offsite,notes,ski_binding_type,wide,ski_boot_type,snowboard_boot_type,snowboard_binding_color
SK0692,210,7,SK,692,2022-12-12,Elan,Konic Jr,146,Upgrade,,,FALSE,,Senior,,,,
SK0693,,,SK,693,2022-12-12,Stockli,Nemesis Jr,88,Standard,,,FALSE,,Junior,,,,
SK0694,225,232,SK,694,2022-12-12,Armada,Crush Jr,140,Standard,,,FALSE,,Senior,,,,
SK0695,486,156,SK,695,2022-12-12,Fischer,Orb,156,Upgrade,,,FALSE,,Junior,,,,
SK0696,,,SK,696,2022-12-12,Head,Enforcer Free Jr,122,Upgrade,,,FALSE,,Senior,,,,
SK0697,,,SK,697,2022-12-12,Line Skis,S/Pro Jr,146,Standard,,,FALSE,,Junior,,,,
SK0698,,,SK,698,2022-12-12,Atomic,Gypsy Jr,140,Standard,,,FALSE,,Junior,,,,
SK0699,,,SK,699,2022-12-12,Volkl,Dobermann Jr,144,Standard,,,FALSE,,Senior,,,,
SK0700,422,216,SK,700,2022-12-12,Black Diamond,Brahma Jr,150,Upgrade,,,FALSE,,Junior,,,,
SK0701,332,7,SK,701,2022-12-12,Rossignol,Ranger 102 FR,122,Standard,,,FALSE,,Junior,,,,
SK0702,651,13,SK,702,2022-12-12,Salomon,Wild Joy,150,Standard,,,FALSE,,Junior,,,,
SK0703,88,263,SK,703,2022-12-12,Dynastar,Park Jr,140,Standard,,,FALSE,,Junior,,,,
SK0704,782,296,SK,704,2022-12-12,Nordica,Armada Jr,150,Upgrade,,,FALSE,,Senior,,,,
SK0705,781,37,SK,705,2022-12-12,Blizzard,Mindbender 108 Ti,88,Standard,,,FALSE,,Senior,,,,
SK0706,356,225,SK,706,2022-12-12,K2,ARV 106,100,Upgrade,,,FALSE,,Senior,,,,
SK0707,,,SK,707,2022-12-12,Elan,V-Shape V8,144,Standard,,,FALSE,,Senior,,,,
SK0708,,,SK,708,2022-12-12,Stockli,Stance Jr,122,Standard,,,FALSE,,Junior,,,,
SK0709,443,274,SK,709,2022-12-12,Armada,Bent Chetler 100,150,Standard,,,FALSE,,Senior,,,,
SK0710,782,239,SK,710,2022-12-12,Fischer,Experience 94 Ti W,104,Standard,,,FALSE,,Junior,,,,
SK0711,61,145,SK,711,2022-12-12,Head,ARV 116 JJ,130,Upgrade,,,FALSE,,Junior,,,,
SK0712,50,14,SK,712,2022-12-12,Line Skis,Santa Ana 98,162,Upgrade,,,FALSE,,Senior,,,,
SK0713,,,SK,713,2022-12-12,Atomic,Stormrider 95,170,Standard,,,FALSE,,Junior,,,,
SK0714,,,SK,714,2022-12-12,Volkl,Enforcer Jr,158,Standard,,,FALSE,,Senior,,,,
SK0715,,,SK,715,2022-12-12,Black Diamond,Mindbender 90 TI,110,Standard,,,FALSE,,Junior,,,,
SK0716,565,185,SK,716,2022-12-12,Rossignol,M-Pro 99,170,Standard,,,FALSE,,Junior,,,,
SK0717,,,SK,717,2022-12-12,Salomon,Super Joy Jr,120,Standard,,,FALSE,,Junior,,,,
SK0718,557,61,SK,718,2022-12-12,Dynastar,Enforcer 94,160,Upgrade,,,FALSE,,Junior,,,,
SK0719,377,145,SK,719,2022-12-12,Nordica,Challenger Jr,112,Standard,,,FALSE,,Junior,,,,
SK0720,,,SK,720,2022-12-12,Blizzard,Santa Ana 98,149,Standard,,,FALSE,,Senior,,,,
SK0721,160,132,SK,721,2022-12-12,K2,Rustler 9,140,Standard,,,FALSE,,Junior,,,,
SK0722,,,SK,722,2022-12-12,Elan,Genesis Jr,92,Upgrade,,,FALSE,,Junior,,,,
SK0723,436,274,SK,723,2022-12-12,Stockli,Wild Joy,136,Upgrade,,,FALSE,,Junior,,,,
SK0724,105,26,SK,724,2022-12-12,Armada,Enforcer Free Jr,140,Standard,,,FALSE,,Senior,,,,
SK0725,,,SK,725,2022-12-12,Fischer,Soul 7 HD Jr,140,Standard,,,FALSE,,Senior,,,,
SK0726,,,SK,726,2022-12-12,Head,Alltrack Jr,120,Standard,,,FALSE,,Senior,,,,
SK0727,254,96,SK,727,2022-12-12,Line Skis,Cochise Jr,124,Standard,,,FALSE,,Senior,,,,
SK0728,,,SK,728,2022-12-12,Atomic,Haven Jr,180,Standard,,,FALSE,,Junior,,,,
SK0729,,,SK,729,2022-12-12,Volkl,Helio 116,122,Standard,,,FALSE,,Junior,,,,
SK0730,,,SK,730,2022-12-12,Black Diamond,Mantra M5,122,Standard,,,FALSE,,Junior,,,,
SK0731,762,253,SK,731,2022-12-12,Rossignol,Yumi Jr,140,Standard,,,FALSE,,Senior,,,,
SK0732,373,258,SK,732,2022-12-12,Salomon,Mindbender 99 Ti,146,Upgrade,,,FALSE,,Junior,,,,
SK0733,502,233,SK,733,2022-12-12,Dynastar,Konic Jr,88,Standard,,,FALSE,,Senior,,,,
SK0734,141,282,SK,734,2022-12-12,Nordica,Comp J,140,Standard,,,FALSE,,Senior,,,,
SK0735,167,62,SK,735,2022-12-12,Blizzard,Laser AX,136,Upgrade,,,FALSE,,Junior,,,,
SK0736,504,249,SK,736,2022-12-12,K2,Legend X96,162,Standard,,,FALSE,,Junior,,,,
SK0737,,,SK,737,2022-12-12,Elan,Backland 107,92,Upgrade,,,FALSE,,Senior,,,,
SK0738,,,SK,738,2022-12-12,Stockli,QST 106,112,Upgrade,,,FALSE,,Senior,,,,
SK0739,556,198,SK,739,2022-12-12,Armada,Enforcer Free Jr,112,Standard,,,FALSE,,Junior,,,,
SK0740,76,4,SK,740,2022-12-12,Fischer,Maverick 85,100,Standard,,,FALSE,,Junior,,,,
SK0741,388,241,SK,741,2022-12-12,Head,Mindbender 108 Ti,147,Upgrade,,,FALSE,,Senior,,,,
SK0742,769,139,SK,742,2022-12-12,Line Skis,FX Jr,130,Standard,,,FALSE,,Junior,,,,
SK0743,,,SK,743,2022-12-12,Atomic,Speedmachine Jr,150,Upgrade,,,FALSE,,Junior,,,,
SK0744,16,44,SK,744,2022-12-12,Volkl,Shiro,130,Upgrade,,,FALSE,,Junior,,,,
SK0745,,,SK,745,2022-12-12,Black Diamond,Icon Q 85,160,Standard,,,FALSE,,Junior,,,,
SK0746,,,SK,746,2022-12-12,Rossignol,Devastator Jr,146,Standard,,,FALSE,,Senior,,,,
SK0747,,,SK,747,2022-12-12,Salomon,Speedmachine Jr,151,Upgrade,,,FALSE,,Senior,,,,
SK0748,616,114,SK,748,2022-12-12,Dynastar,Zipline Jr,136,Standard,,,FALSE,,Junior,,,,
SK0749,122,114,SK,749,2022-12-12,Nordica,Deacon Jr,110,Standard,,,FALSE,,Senior,,,,
SK0750,782,27,SK,750,2022-12-12,Blizzard,Junior Supershape,160,Standard,,,FALSE,,Senior,,,,
SK0751,771,5,SK,751,2022-12-12,K2,Ranger One FR,110,Standard,,,FALSE,,Senior,,,,
SK0752,560,36,SK,752,2022-12-12,Elan,QST 106,160,Standard,,,FALSE,,Senior,,,,
SK0753,666,117,SK,753,2022-12-12,Stockli,Firebird WRC Jr,122,Upgrade,,,FALSE,,Senior,,,,
SK0754,,,SK,754,2022-12-12,Armada,Bandit Jr,150,Standard,,,FALSE,,Senior,,,,
SK0755,,,SK,755,2022-12-12,Fischer,M-Pro 99,112,Standard,,,FALSE,,Junior,,,,
SK0756,,,SK,756,2022-12-12,Head,Ranger 94 FR,160,Standard,,,FALSE,,Junior,,,,
SK0757,684,165,SK,757,2022-12-12,Line Skis,S/Pro Jr,160,Standard,,,FALSE,,Junior,,,,
SK0758,480,278,SK,758,2022-12-12,Atomic,Soul 7 HD,160,Standard,,,FALSE,,Junior,,,,
SK0759,,,SK,759,2022-12-12,Volkl,Invictus Jr,104,Upgrade,,,FALSE,,Junior,,,,
SK0760,,,SK,760,2022-12-12,Black Diamond,Brahma Jr,160,Upgrade,,,FALSE,,Senior,,,,
SK0761,,,SK,761,2022-12-12,Blizzard,Blackops Pro Jr,170,Standard,,,FALSE,,Junior,,,,
SK0762,,,SK,762,2022-12-12,Nordica,Invictus Jr,150,Standard,,,FALSE,,Junior,,,,
SK0763,12,156,SK,763,2022-12-12,Atomic,Orb,140,Upgrade,,,FALSE,,Junior,,,,
SK0764,559,66,SK,764,2022-12-12,Rossignol,Helio 116,140,Upgrade,,,FALSE,,Senior,,,,
SK0765,651,76,SK,765,2022-12-12,Fischer,QST Lumen 99,160,Standard,,,FALSE,,Senior,,,,
SK0766,567,66,SK,766,2022-12-12,Head,Backland 100,140,Standard,,,FALSE,,Junior,,,,
SK0767,208,141,SK,767,2022-12-12,Salomon,Kore 99,160,Standard,,,FALSE,,Senior,,,,
SK0768,550,204,SK,768,2022-12-12,Dynastar,Orb,140,Standard,,,FALSE,,Junior,,,,
SK0769,,,SK,769,2022-12-12,Black Diamond,Ranger 94 FR,160,Standard,,,FALSE,,Junior,,,,
SK0770,,,SK,770,2022-12-12,Line Skis,Prodigy Jr,161,Standard,,,FALSE,,Senior,,,,
SK0771,524,275,SK,771,2022-12-12,K2,Mantra Jr,150,Upgrade,,,FALSE,,Junior,,,,
SK0772,639,122,SK,772,2022-12-12,Elan,Stormrider 95,136,Standard,,,FALSE,,Junior,,,,
SK0773,103,185,SK,773,2022-12-12,Stockli,Route 105,136,Standard,,,FALSE,,Junior,,,,
SK0774,748,226,SK,774,2022-12-12,Armada,Wild Joy,180,Standard,,,FALSE,,Junior,,,,
SK0775,,,SK,775,2022-12-12,Fischer,Laser AX,170,Standard,,,FALSE,,Junior,,,,
SK0776,,,SK,776,2022-12-12,Line Skis,V-Shape V6 Jr,150,Upgrade,,,FALSE,,Junior,,,,
SK0777,311,70,SK,777,2022-12-12,Atomic,React R8 Jr,122,Upgrade,,,FALSE,,Junior,,,,
SK0778,104,251,SK,778,2022-12-12,Volkl,Enforcer 88,140,Upgrade,,,FALSE,,Junior,,,,
SK0779,173,293,SK,779,2022-12-12,Black Diamond,Mindbender 90 TI,160,Standard,,,FALSE,,Junior,,,,
SK0780,106,283,SK,780,2022-12-12,Head,Helio 116,150,Standard,,,FALSE,,Junior,,,,
SK0781,320,132,SK,781,2022-12-12,Salomon,Super Joy Jr,150,Upgrade,,,FALSE,,Junior,,,,
SK0782,315,128,SK,782,2022-12-12,Dynastar,ARV 106,156,Upgrade,,,FALSE,,Junior,,,,
SK0783,,,SK,783,2022-12-12,Rossignol,Mantra M5,110,Standard,,,FALSE,,Junior,,,,
SK0784,548,183,SK,784,2022-12-12,Nordica,Hot Rod Jr,150,Upgrade,,,FALSE,,Junior,,,,
SK0785,514,212,SK,785,2022-12-12,Blizzard,Hot Rod Jr,152,Standard,,,FALSE,,Junior,,,,
SK0786,684,101,SK,786,2022-12-12,K2,Nemesis Jr,170,Upgrade,,,FALSE,,Junior,,,,
SK0787,747,172,SK,787,2022-12-12,Elan,Ranger 94 FR,100,Standard,,,FALSE,,Junior,,,,
SK0788,,,SK,788,2022-12-12,Stockli,Dobermann Jr,100,Standard,,,FALSE,,Junior,,,,
SK0789,,,SK,789,2022-12-12,Armada,Helio 116,136,Standard,,,FALSE,,Junior,,,,
SK0790,,,SK,790,2022-12-12,Fischer,Crush Jr,136,Upgrade,,,FALSE,,Junior,,,,
SK0791,215,29,SK,791,2022-12-12,Head,Brahma Jr,170,Upgrade,,,FALSE,,Junior,,,,
SK0792,419,239,SK,792,2022-12-12,Line Skis,Speed Zone Jr,88,Standard,,,FALSE,,Junior,,,,
SK0793,189,153,SK,793,2022-12-12,Atomic,QST 106,160,Standard,,,FALSE,,Senior,,,,
SK0794,,,SK,794,2022-12-12,Volkl,QST Lumen 99,120,Standard,,,FALSE,,Junior,,,,
SK0795,310,55,SK,795,2022-12-12,Black Diamond,Brahma 88,116,Standard,,,FALSE,,Junior,,,,
SK0796,,,SK,796,2022-12-12,Rossignol,Ripstick 106,140,Standard,,,FALSE,,Junior,,,,
SK0797,200,148,SK,797,2022-12-12,Salomon,Invictus Jr,160,Upgrade,,,FALSE,,Junior,,,,
SK0798,,,SK,798,2022-12-12,Dynastar,S/Max Jr,170,Standard,,,FALSE,,Senior,,,,
SK0799,698,186,SK,799,2022-12-12,Nordica,Devastator Jr,152,Standard,,,FALSE,,Junior,,,,
SK0800,673,5,SK,800,2022-12-12,Blizzard,S Max Blast Jr,140,Standard,,,FALSE,,Senior,,,,
SK0801,,,SK,801,2022-12-12,K2,Backland 107,140,Upgrade,,,FALSE,,Junior,,,,
SK0802,,,SK,802,2022-12-12,Elan,Core Jr,128,Upgrade,,,FALSE,,Senior,,,,
SK0803,627,106,SK,803,2022-12-12,Stockli,Deacon Jr,175,Standard,,,FALSE,,Senior,,,,
SK0804,124,287,SK,804,2022-12-12,Armada,Enforcer Free Jr,150,Standard,,,FALSE,,Junior,,,,
SK0805,,,SK,805,2022-12-12,Fischer,Armada Jr,170,Standard,,,FALSE,,Junior,,,,
SK0806,323,258,SK,806,2022-12-12,Head,Ranger 94 FR,150,Standard,,,FALSE,,Junior,,,,
SK0807,114,4,SK,807,2022-12-12,Line Skis,Kore 99,160,Upgrade,,,FALSE,,Senior,,,,
SK0808,155,67,SK,808,2022-12-12,Atomic,Cochise Jr,180,Standard,,,FALSE,,Junior,,,,
SK0809,,,SK,809,2022-12-12,Volkl,Blackops Sender Ti,124,Standard,,,FALSE,,Junior,,,,
SK0810,,,SK,810,2022-12-12,Black Diamond,Mantra M5,140,Standard,,,FALSE,,Senior,,,,
SK0811,,,SK,811,2022-12-12,Rossignol,Hero Jr,136,Standard,,,FALSE,,Junior,,,,
SK0812,,,SK,812,2022-12-12,Salomon,FX Jr,130,Standard,,,FALSE,,Junior,,,,
SK0813,,,SK,813,2022-12-12,Dynastar,Ranger One FR,130,Standard,,,FALSE,,Junior,,,,
SK0814,,,SK,814,2022-12-12,Nordica,Firebird Jr,137,Standard,,,FALSE,,Junior,,,,
SK0815,,,SK,815,2022-12-12,Blizzard,Wild Joy,140,Standard,,,FALSE,,Junior,,,,
SK0816,,,SK,816,2022-12-12,K2,Backland 100,128,Standard,,,FALSE,,Junior,,,,
SK0817,576,267,SK,817,2022-12-12,Elan,Genesis Jr,160,Upgrade,,,FALSE,,Senior,,,,
SK0818,217,217,SK,818,2022-12-12,Stockli,Cochise Jr,158,Upgrade,,,FALSE,,Junior,,,,
SK0819,,,SK,819,2022-12-12,Armada,Armada Jr,160,Upgrade,,,FALSE,,Junior,,,,
SK0820,586,210,SK,820,2022-12-12,Fischer,Legend X96,162,Standard,,,FALSE,,Junior,,,,
SK0821,,,SK,821,2022-12-12,Head,Deacon Jr,158,Upgrade,,,FALSE,,Senior,,,,
SK0822,,,SK,822,2022-12-12,Line Skis,S/Max Jr,160,Standard,,,FALSE,,Senior,,,,
SK0823,356,17,SK,823,2022-12-12,Atomic,Enforcer 94,140,Standard,,,FALSE,,Senior,,,,
SK0824,345,159,SK,824,2022-12-12,Volkl,Maverick 85,77,Standard,,,FALSE,,Junior,,,,
SK0825,531,126,SK,825,2022-12-12,Black Diamond,Blackops Pro Jr,166,Standard,,,FALSE,,Junior,,,,
SK0826,593,287,SK,826,2022-12-12,Rossignol,Kore 93,174,Upgrade,,,FALSE,,Junior,,,,
SK0827,,,SK,827,2022-12-12,Salomon,Enforcer Jr,180,Standard,,,FALSE,,Senior,,,,
SK0828,342,159,SK,828,2022-12-12,Dynastar,Firebird WRC Jr,186,Standard,,,FALSE,,Junior,,,,
SK0829,50,203,SK,829,2022-12-12,Nordica,Sir Francis Bacon,172,Standard,,,FALSE,,Senior,,,,
SK0830,,,SK,830,2022-12-12,Blizzard,Kenja Jr,179,Standard,,,FALSE,,Junior,,,,
SK0831,,,SK,831,2022-12-12,K2,Haven Jr,186,Upgrade,,,FALSE,,Junior,,,,
SK0832,564,265,SK,832,2022-12-12,Elan,Kenja 88,162,Standard,,,FALSE,,Junior,,,,
SK0833,,,SK,833,2022-12-12,Stockli,Brahma 88,156,Standard,,,FALSE,,Senior,,,,
SK0834,608,68,SK,834,2022-12-12,Armada,Super Joy Jr,162,Upgrade,,,FALSE,,Junior,,,,
SK0835,525,126,SK,835,2022-12-12,Fischer,Mindbender 99 Ti,168,Standard,,,FALSE,,Junior,,,,
SK0836,57,51,SK,836,2022-12-12,Head,Prince Jr,158,Standard,,,FALSE,,Junior,,,,
SK0837,710,270,SK,837,2022-12-12,Line Skis,Blade,151,Upgrade,,,FALSE,,Junior,,,,
SK0838,216,112,SK,838,2022-12-12,Atomic,Legend X96,158,Standard,,,FALSE,,Senior,,,,
SK0839,167,86,SK,839,2022-12-12,Volkl,QST Lumen 99,165,Upgrade,,,FALSE,,Junior,,,,
SK0840,476,31,SK,840,2022-12-12,Black Diamond,Rustler 9,172,Standard,,,FALSE,,Senior,,,,
SK0841,95,62,SK,841,2022-12-12,Rossignol,Ranger One FR,88,Standard,,,FALSE,,Junior,,,,
SK0842,119,245,SK,842,2022-12-12,Salomon,NRGY Jr,67,Standard,,,FALSE,,Junior,,,,
SK0843,,,SK,843,2022-12-12,Dynastar,Mindbender 90 TI,156,Standard,,,FALSE,,Junior,,,,
SK0844,406,215,SK,844,2022-12-12,Nordica,Alltrack Jr,167,Standard,,,FALSE,,Senior,,,,
SK0845,139,214,SK,845,2022-12-12,Blizzard,Orb,146,Standard,,,FALSE,,Senior,,,,
SK0846,191,280,SK,846,2022-12-12,K2,S Max Blast Jr,162,Standard,,,FALSE,,Junior,,,,
SK0847,,,SK,847,2022-12-12,Elan,NRGY Jr,146,Standard,,,FALSE,,Junior,,,,
SK0848,607,274,SK,848,2022-12-12,Stockli,Enforcer 94,167,Standard,,,FALSE,,Junior,,,,
SK0849,649,239,SK,849,2022-12-12,Armada,Ranger 102 FR,170,Upgrade,,,FALSE,,Junior,,,,
SK0850,647,3,SK,850,2022-12-12,Fischer,Mindbender 99 Ti,100,Upgrade,,,FALSE,,Junior,,,,
SK0851,,,SK,851,2022-12-12,Head,Genesis Jr,100,Standard,,,FALSE,,Senior,,,,
SK0852,175,256,SK,852,2022-12-12,Line Skis,Mindbender 90 TI,100,Upgrade,,,FALSE,,Senior,,,,
SK0853,488,105,SK,853,2022-12-12,Atomic,Icon Q 85,100,Upgrade,,,FALSE,,Junior,,,,
SK0854,647,106,SK,854,2022-12-12,Volkl,Nemesis Jr,100,Standard,,,FALSE,,Junior,,,,
SK0855,,,SK,855,2022-12-12,Black Diamond,Helio 116,100,Standard,,,FALSE,,Junior,,,,
SK0856,,,SK,856,2022-12-12,Blizzard,S Max Blast Jr,100,Upgrade,,,FALSE,,Junior,,,,
SK0857,,,SK,857,2022-12-12,Nordica,Kore 93,100,Upgrade,,,FALSE,,Junior,,,,
SK0858,,,SK,858,2022-12-12,Atomic,S/Pro Jr,100,Standard,,,FALSE,,Junior,,,,
SK0859,671,218,SK,859,2022-12-12,Rossignol,Firebird Jr,100,Standard,,,FALSE,,Junior,,,,
SK0860,,,SK,860,2022-12-12,Fischer,Armada Jr,100,Standard,,,FALSE,,Senior,,,,
SK0861,,,SK,861,2022-12-12,Head,Ripstick 106,100,Standard,,,FALSE,,Senior,,,,
SK0862,,,SK,862,2022-12-12,Salomon,Kore 99,100,Upgrade,,,FALSE,,Senior,,,,
SK0863,521,55,SK,863,2022-12-12,Dynastar,Experience 88 Ti,100,Upgrade,,,FALSE,,Junior,,,,
SK0864,220,227,SK,864,2022-12-12,Black Diamond,Super Joy Jr,90,Standard,,,FALSE,,Senior,,,,
SK0865,395,203,SK,865,2022-12-12,Line Skis,Mindbender 90 TI,92,Standard,,,FALSE,,Senior,,,,
SK0866,638,236,SK,866,2022-12-12,K2,Shiro,110,Upgrade,,,FALSE,,Junior,,,,
SK0867,470,188,SK,867,2022-12-12,Elan,Kenja 88,110,Standard,,,FALSE,,Senior,,,,
SK0868,,,SK,868,2022-12-12,Stockli,Bent Chetler 100,112,Standard,,,FALSE,,Junior,,,,
SK0869,675,158,SK,869,2022-12-12,Armada,M-Pro 99,112,Standard,,,FALSE,,Junior,,,,
SK0870,733,65,SK,870,2022-12-12,Fischer,Stance Jr,112,Standard,,,FALSE,,Senior,,,,
SK0871,758,156,SK,871,2022-12-12,Line Skis,Mantra Jr,112,Standard,,,FALSE,,Senior,,,,
SK0872,494,23,SK,872,2022-12-12,Atomic,Invictus Jr,112,Standard,,,FALSE,,Senior,,,,
SK0873,,,SK,873,2022-12-12,Volkl,Santa Ana 98,112,Upgrade,,,FALSE,,Senior,,,,
SK0874,,,SK,874,2022-12-12,Black Diamond,Bandit Jr,110,Upgrade,,,FALSE,,Junior,,,,
SK0875,,,SK,875,2022-12-12,Head,Dobermann Jr,112,Standard,,,FALSE,,Senior,,,,
SK0876,,,SK,876,2022-12-12,Salomon,Ranger One FR,112,Standard,,,FALSE,,Junior,,,,
SK0877,374,166,SK,877,2022-12-12,Dynastar,Santa Ana 98,112,Standard,,,FALSE,,Junior,,,,
SK0878,217,291,SK,878,2022-12-12,Rossignol,Wingman 86 CTI,124,Standard,,,FALSE,,Senior,,,,
SK0879,148,295,SK,879,2022-12-12,Nordica,QST 106,124,Standard,,,FALSE,,Senior,,,,
SK0880,,,SK,880,2022-12-12,Blizzard,Enforcer Jr,115,Standard,,,FALSE,,Junior,,,,
SK0881,,,SK,881,2022-12-12,K2,Kenja Jr,112,Standard,,,FALSE,,Junior,,,,
SK0882,569,126,SK,882,2022-12-12,Elan,Legend X96,112,Upgrade,,,FALSE,,Junior,,,,
SK0883,,,SK,883,2022-12-12,Stockli,Stormrider 95,112,Upgrade,,,FALSE,,Junior,,,,
SK0884,659,210,SK,884,2022-12-12,Armada,Enforcer 110,112,Standard,,,FALSE,,Senior,,,,
SK0885,,,SK,885,2022-12-12,Fischer,Rustler 9,112,Standard,,,FALSE,,Junior,,,,
SK0886,,,SK,886,2022-12-12,Head,Brahma Jr,124,Standard,,,FALSE,,Junior,,,,
SK0887,,,SK,887,2022-12-12,Line Skis,Ripstick Jr,112,Standard,,,FALSE,,Senior,,,,
SK0888,,,SK,888,2022-12-12,Atomic,Legend X96,110,Standard,,,FALSE,,Senior,,,,
SK0889,107,214,SK,889,2022-12-12,Volkl,Bent Chetler 100,107,Upgrade,,,FALSE,,Junior,,,,
SK0890,638,282,SK,890,2022-12-12,Black Diamond,Zipline Jr,120,Standard,,,FALSE,,Senior,,,,
SK0891,2,17,SK,891,2022-12-12,Rossignol,Blade,114,Standard,,,FALSE,,Senior,,,,
SK0892,,,SK,892,2022-12-12,Salomon,Ranger 102 FR,100,Standard,,,FALSE,,Senior,,,,
SK0893,313,249,SK,893,2022-12-12,Dynastar,Dobermann Jr,87,Standard,,,FALSE,,Junior,,,,
SK0894,,,SK,894,2022-12-12,Nordica,Prince Jr,110,Standard,,,FALSE,,Junior,,,,
SK0895,715,157,SK,895,2022-12-12,Blizzard,Mindbender 108 Ti,119,Standard,,,FALSE,,Senior,,,,
SK0896,415,111,SK,896,2022-12-12,K2,QST 106,117,Standard,,,FALSE,,Junior,,,,
SK0897,406,134,SK,897,2022-12-12,Elan,Mindbender 108 Ti,97,Standard,,,FALSE,,Junior,,,,
SK0898,657,40,SK,898,2022-12-12,Stockli,Enforcer Jr,116,Standard,,,FALSE,,Junior,,,,
SK0899,69,279,SK,899,2022-12-12,Armada,S Max Blast Jr,93,Standard,,,FALSE,,Senior,,,,
SK0900,,,SK,900,2022-12-12,Fischer,Blackops Sender Ti,110,Upgrade,,,FALSE,,Senior,,,,
SK0901,,,SK,901,2022-12-12,Head,Yumi Jr,119,Standard,,,FALSE,,Senior,,,,
SK0902,,,SK,902,2022-12-12,Line Skis,Ripstick Jr,117,Upgrade,,,FALSE,,Senior,,,,
SK0903,630,188,SK,903,2022-12-12,Atomic,V-Shape V8,87,Standard,,,FALSE,,Senior,,,,
SK0904,492,150,SK,904,2022-12-12,Volkl,Enforcer 94,154,Standard,,,FALSE,,Senior,,,,
SK0905,,,SK,905,2022-12-12,Black Diamond,Hot Rod Jr,172,Standard,,,FALSE,,Junior,,,,
SK0906,,,SK,906,2022-12-12,Rossignol,Stance 96,145,Standard,,,FALSE,,Junior,,,,
SK0907,583,225,SK,907,2022-12-12,Salomon,Konic Jr,145,Standard,,,FALSE,,Junior,,,,
SK0908,,,SK,908,2022-12-12,Dynastar,Wingman 86 CTI,163,Upgrade,,,FALSE,,Junior,,,,
SK0909,,,SK,909,2022-12-12,Nordica,Brahma Jr,163,Standard,,,FALSE,,Senior,,,,
SK0910,719,203,SK,910,2022-12-12,Blizzard,Crush Jr,172,Upgrade,,,FALSE,,Junior,,,,
SK0911,393,145,SK,911,2022-12-12,K2,Speedmachine Jr,172,Upgrade,,,FALSE,,Junior,,,,
SK0912,454,111,SK,912,2022-12-12,Elan,Kendo,172,Upgrade,,,FALSE,,Senior,,,,
SK0913,382,105,SK,913,2022-12-12,Stockli,Sir Francis Bacon,172,Standard,,,FALSE,,Junior,,,,
SK0914,696,216,SK,914,2022-12-12,Armada,Dobermann Jr,172,Standard,,,FALSE,,Junior,,,,
SK0915,,,SK,915,2022-12-12,Fischer,Devastator Jr,172,Standard,,,FALSE,,Junior,,,,
SK0916,,,SK,916,2022-12-12,Head,Mindbender Jr,169,Upgrade,,,FALSE,,Senior,,,,
SK0917,692,188,SK,917,2022-12-12,Line Skis,Kore 93,170,Standard,,,FALSE,,Senior,,,,
SK0918,376,273,SK,918,2022-12-12,Atomic,Ranger 102 FR,167,Standard,,,FALSE,,Senior,,,,
SK0919,300,163,SK,919,2022-12-12,Volkl,Blackops Sender Ti,119,Standard,,,FALSE,,Junior,,,,
SK0920,,,SK,920,2022-12-12,Black Diamond,Enforcer 110,119,Upgrade,,,FALSE,,Junior,,,,
SK0921,169,233,SK,921,2022-12-12,Rossignol,Stance 96,119,Standard,,,FALSE,,Junior,,,,
SK0922,,,SK,922,2022-12-12,Salomon,Enforcer 110,129,Standard,,,FALSE,,Senior,,,,
SK0923,,,SK,923,2022-12-12,Dynastar,Speed Zone Jr,129,Upgrade,,,FALSE,,Junior,,,,
SK0924,98,205,SK,924,2022-12-12,Nordica,Gypsy Jr,129,Upgrade,,,FALSE,,Junior,,,,
SK0925,,,SK,925,2022-12-12,Blizzard,S Max Blast Jr,129,Upgrade,,,FALSE,,Junior,,,,
SK0926,576,114,SK,926,2022-12-12,K2,Rustler 9,129,Standard,,,FALSE,,Junior,,,,
SK0927,529,40,SK,927,2022-12-12,Elan,Helio 116,129,Standard,,,FALSE,,Junior,,,,
SK0928,97,253,SK,928,2022-12-12,Stockli,React R8 Jr,129,Standard,,,FALSE,,Junior,,,,
SK0929,,,SK,929,2022-12-12,Armada,Ripstick 106,129,Standard,,,FALSE,,Senior,,,,
SK0930,,,SK,930,2022-12-12,Fischer,Genesis Jr,139,Standard,,,FALSE,,Junior,,,,
SK0931,531,90,SK,931,2022-12-12,Head,Kenja 88,139,Standard,,,FALSE,,Junior,,,,
SK0932,194,212,SK,932,2022-12-12,Line Skis,Kenja 88,139,Standard,,,FALSE,,Junior,,,,
SK0933,292,176,SK,933,2022-12-12,Atomic,Enforcer 88,139,Standard,,,FALSE,,Senior,,,,
SK0934,391,280,SK,934,2022-12-12,Volkl,Armada Jr,139,Standard,,,FALSE,,Senior,,,,
SK0935,320,146,SK,935,2022-12-12,Black Diamond,Mantra M5,139,Standard,,,FALSE,,Senior,,,,
SK0936,,,SK,936,2022-12-12,Rossignol,Yumi Jr,139,Standard,,,FALSE,,Junior,,,,
SK0937,569,267,SK,937,2022-12-12,Salomon,Rustler 9,139,Standard,,,FALSE,,Senior,,,,
SK0938,668,227,SK,938,2022-12-12,Dynastar,React R8 Jr,139,Upgrade,,,FALSE,,Senior,,,,
SK0939,,,SK,939,2022-12-12,Nordica,Brahma 88,139,Upgrade,,,FALSE,,Junior,,,,
